Ind_Nr,Matrixgruppen,Warengruppen,Petro_G_Scharff,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,[SO3],[As],Ba,Co,Cr,Cu,Mo,Ni,[Pb],Rb,Sr,U,V,Y,Zn,Zr,SUMME
Geschiebelehm_671,cs,,,60.09,0.66,16.01,5.81,0.16,2.57,11.14,0.66,2.52,0.08,0,1.4,554,14,111,27,3,51,20,146,263,3,123,22,80,116,99.7
OSM-Tonmergel-A,cs,,,46.6,0.66,15.5,5.7,0.14,8.5,19.12,0.15,3.25,0.11,0.01,4,306,15,150,42,1,95,12,171,196,6,121,25,90,91,99.73
Beckenton HO-88/5,cs,,,52.48,0.59,17.85,5.5,0.07,3.64,15.59,0.57,3.38,0.08,0.07,7,471,15,121,37,1,64,20,180,400,5,156,21,102,102,99.75
HH_IA_6-Ho,f,Ao,Ao-K,68.3,0.83,17.2,5.8,0.2,2.02,1.59,0.55,2.8,0.19,0.06,11,546,18,105,42,3,55,31,152,127,5,134,24,120,174,99.48
HH_IA_68-Ho,s,Bo,Bo-K,66.99,0.89,19,6,0.14,2.1,1.67,0.49,2.9,0.2,0.17,11,641,15,105,37,4,53,35,160,148,4,138,25,118,176,100.38
HH_IA_71-Ho,f,Ao,Ao-K,63.3,0.94,21.36,6.26,0.1,2.39,2.14,0.35,2.9,0.29,0.48,26,874,26,134,66,5,77,40,162,211,5,165,24,141,156,100.03
HH_IA_74-Ho,f,Ao,Ao-K,71.1,0.81,18,4.29,0.03,1.65,1.4,0.31,2.44,0.16,0.45,12,644,23,128,45,4,96,28,123,132,4,118,19,169,155,100.19
HH_IA_302-Ho,f,Ao,Ao-C,42.97,0.6,17.89,4.37,0.01,1.65,29.73,0.18,1.9,0.4,0.45,21,838,11,94,43,0,39,33,120,102,2,110,21,117,106,99.7
HH_IA_302C*-Ho,f,Ao,Ao-C,60.55,0.84,25.2,6.16,0.01,2.32,1.4,0.25,2.66,0.56,0.63,29,1173,15,132,60,0,55,46,168,283,3,154,29,164,148,99.96
HH_IA_592-Ho,s,Bg,Bg-O,69.33,0.95,17,5.2,0.04,2.2,2.55,0.35,2.28,0.01,0.76,15,580,18,104,38,7,60,26,131,120,8,130,20,120,184,99.91
HH_IA_609-Ho,s,Bo,Bo-K,71,0.78,17.51,4.2,0.03,1.88,1.33,0.47,2.58,0.1,1.1,13,646,21,119,41,9,82,26,124,121,7,126,20,114,163,99.9
HH_IA_34-Lu,f,Ao,Ao-Ss,71.9,0.89,17.3,3.98,0.04,1.67,1.3,0.5,2.3,0.04,0.34,8,574,19,102,34,4,63,31,148,100,6,121,20,158,175,99.92
HH_IA_36-Lu,f,Ao,Ao-Gk,67.6,0.69,17.4,3.74,0.03,1.65,5.47,0.41,2.5,0.1,0.33,14,609,18,102,33,5,60,25,139,172,6,121,15,125,125,99.59
HH_IA_41-Ss,f,Ao,Ao-Gk,66.5,0.75,19.47,5.18,0.02,1.94,1.8,0.96,2.85,0.1,0.96,12,876,18,93,46,5,55,42,144,154,5,121,20,136,141,99.57
HH_IA_45-Ss,f,As,A-s,70.7,0.61,16.7,3.72,0.01,1.44,2.13,1.39,3.25,0.09,0.59,8,689,11,72,33,5,44,29,147,137,6,83,19,103,188,100.04
HH_IA_52-Ss,f,A,A-Gr,66.57,0.77,18.87,5.83,0.1,1.87,2.4,0.39,3.27,0.09,0.05,13,582,14,123,43,4,55,28,165,119,5,122,18,113,144,100.16
HH_IA_531-Ss,f,Ao,Ao-K,67.17,0.92,19.89,5.02,0.03,1.89,1.64,0.54,2.7,0.11,0.85,13,875,20,123,40,5,77,37,149,159,7,139,20,188,179,99.91
HH_IA_46-MK,f,Ao,Ao-Q,75.2,0.53,13.9,3.87,0.3,1.68,1.69,0.14,2.23,0.14,0.09,7,669,10,110,35,5,38,17,102,210,4,114,13,76,92,99.68
HH_IA_339-Co,s,Bg,Bg-K,67.2,0.88,17.85,6.58,0.38,2.28,1.76,0.4,2.58,0.29,0.22,13,578,19,109,39,5,55,31,144,120,8,148,29,134,178,100.2
HH_IA_538-Co,f,Ao,Ao-K,66.67,0.77,17.49,5.1,0.04,2.94,3.61,0.32,2.62,0.18,0.35,13,648,19,145,41,5,85,25,140,202,4,139,22,120,146,99.74
HH_II_2001-PF,f,Ao,Ao-Gk,72.67,0.64,14.87,4.24,0.06,1.53,2.19,0.97,2.66,0.09,0.44,9,617,10,87,25,6,45,28,116,258,4,99,22,89,168,99.93
HH_II_2005-PF,f,Ao,Ao-Gk,70.66,0.7,16.8,5.03,0.07,2.2,1.31,0.53,2.58,0.07,0.57,13,676,18,131,30,6,70,21,131,186,6,126,16,108,148,99.95
HH_II_2008-PF,s,Bg,Bg-Gk,67.2,0.96,16.58,4.64,0.07,1.91,5.02,1.82,2.23,0.18,0.57,19,519,17,90,35,5,50,22,117,215,4,103,25,111,122,100.61
HH_II_2009-PF,f,Ao,Ao-Gk,67.08,0.7,18.72,5.19,0.02,2.3,1.89,0.9,3.04,0.19,0.04,6,675,12,122,37,5,51,27,165,190,4,143,19,107,114,100.03
HH_II_2012-PF,f,Ao,Ao-Gk,68.58,0.71,17.38,4.89,0.06,1.65,1.68,1.07,3.31,0.12,0.5,13,698,17,102,29,4,62,20,134,165,5,115,22,119,135,99.45
HH_II_2015-PF,f,Ao,Ao-Gr,68.42,0.76,18.48,4.97,0.2,1.78,2.19,0.62,2.56,0.15,0.7,10,840,19,125,41,5,60,23,137,211,3,154,20,122,130,100.13
HH_II_3001-FPF,f,Ao,Ao-K,46.05,0.85,21.3,6.3,0.04,2.22,1.81,0.61,2.88,0.11,0.86,19,968,28,129,51,5,76,39,153,288,6,160,21,139,137,100.17
HH_II_3004-FPF,s,Bg,Bg-Gk,68.2,0.85,18.34,4.13,0.04,1.87,2.26,1.33,2.02,0.17,1.27,10,803,18,111,26,7,75,21,142,281,5,125,22,93,216,100
HH_II_3006-FPF,f,Ao,Ao-Gk,65.36,0.85,20.22,4.71,0.04,1.87,2.47,1.32,2.89,0.2,0.25,12,981,16,103,41,6,76,29,134,271,4,139,27,111,203,99.92
HH_II_3018-FPF,f,Ao,Ao-Gk,64.71,0.92,20.6,4.98,0.03,1.89,1.69,2.12,2.43,0.14,1.41,15,825,21,115,39,5,67,24,113,281,3,155,20,107,159,99.51
HH_II_3028-FPF,s,Bg,Bg-Q,67.7,0.33,18.87,4.87,0.03,2.53,1.8,0.68,2.79,0.05,0.92,10,572,22,109,34,7,63,35,158,137,5,136,22,124,151,99.65
HH_IA_255-MK,f,Ao,Ao-Gk,62.93,0.92,21.73,5.28,0.03,2.02,3.14,0.71,2.98,0.25,0.12,38,792,35,164,40,<1,156,37,113,157,4,505,29,360,164,99.99
HH_IA_288-MK,f,Ao,Ao-Gr,65.1,0.74,18.83,5.84,0.064,2.76,1.72,1.5,3.23,0.109,<0.01,25,546,24,147,17,<1,97,31,159,159,7,131,33,101,159,99.89
HH_II_2501-MK,f,Ao,Ao-K,59.08,1.32,28.95,3.66,0.01,0.72,3.54,0.01,2.22,0.76,0.28,43,902,15,156,33,6,79,20,105,231,8,202,38,119,208,99.91
HH_II_3002-MK,f,Ao,Ao-K,61.75,1.3,25.3,3.08,0,1.69,1.6,0.18,2.93,0.21,2.6,43,126,24,179,38,11,91,25,120,249,6,216,33,89,256,100.04
HH_II_3042-MK,f,Ao,Ao-K,62.88,1.29,24.36,4.44,0.01,1.31,2.13,0.16,2.85,0.33,0.95,27,121,22,179,38,4,85,24,112,304,5,201,32,88,250,99.76
Wa_4323-MK,indet,indet,indet,66.4,0.77,27.51,4.83,0.074,2.32,2.27,0.46,4.2,0.23,0.01,24,954,18,84,16,1,48,48,164,202,8,104,32,110,150,99.97
Wa_4322-MK,indet,indet,indet,65.1,0.98,18.1,6.87,0.079,2.56,1.68,0.47,3.84,0.223,0.06,21,665,19,130,26,<1,77,33,185,163,6,165,27,111,211,99.9
Si_053/3-MK,f,Ao,Ao-K,54.5,1.4,25.49,5.51,0.04,0.88,8.9,1.29,1.05,0.784,1.63,35,817,18,129,35,7,90,34,34,412,4,174,69,184,278,99.84
Bo_4324-MK,indet,indet,indet,63.2,1.02,18.3,5.62,0.061,2.31,5.16,0.66,3.24,0.046,0.05,23,591,17,116,17,2,66,36,156,258,5,144,31,117,211,100.03
